image_id,image_filename,image_path,xml_filename,xml_path,license_number,state_code,width,height,depth,xmin,xmax,ymin,ymax,xml_license_number,status
AP5,AP5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP5.jpg,AP5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP5.xml,AP39TP0211,AP,272,363,3,93,155,163,179,AP39TP0211,OK
AP19,AP19.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP19.jpg,AP19.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP19.xml,AP04M7627,AP,272,604,3,98,158,341,357,AP04M7627,OK
UP5,UP5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP5.jpg,UP5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP5.xml,UP32EC5577,UP,272,602,3,99,167,282,300,UP32EC5577,OK
KL10,KL10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KL10.jpg,KL10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KL10.xml,KL45C4411,KL,272,363,3,58,130,201,230,KL45C4411,OK
AS17,AS17.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AS17.jpg,AS17.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AS17.xml,AS01AR1986,AS,271,342,3,89,182,250,268,AS01AR1986,OK
BR18,BR18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR18.jpg,BR18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR18.xml,BR01BD5042,BR,272,484,3,91,198,338,360,BR01BD5042,OK
AP43,AP43.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP43.jpg,AP43.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP43.xml,AP31BG7827,AP,272,363,3,110,198,322,344,AP31BG7827,OK
AS5,AS5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AS5.jpg,AS5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AS5.xml,AS23H0770,AS,272,575,3,94,189,316,346,AS23H0770,OK
AN4,AN4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AN4.jpg,AN4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AN4.xml,AN01M4M,AN,272,363,3,82,141,229,245,AN01M4M,OK
WB11,WB11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB11.jpg,WB11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB11.xml,WB08A4101,WB,272,570,3,78,173,304,328,WB08A4101,OK
KA18,KA18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KA18.jpg,KA18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KA18.xml,KA04MK312,KA,272,204,3,105,154,128,138,KA04MK312,OK
WB19,WB19.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB19.jpg,WB19.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB19.xml,WB061061,WB,272,364,3,84,170,174,199,WB061061,OK
AR1,AR1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AR1.jpg,AR1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AR1.xml,AR048395,AR,272,153,3,99,156,110,122,AR048395,OK
RJ6,RJ6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\RJ6.jpg,RJ6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\RJ6.xml,RJ23CB2272,RJ,272,484,3,154,229,261,295,RJ23CB2272,OK
MP9,MP9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MP9.jpg,MP9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MP9.xml,MP45G0872,MP,272,471,3,189,248,216,248,MP45G0872,OK
KL15,KL15.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KL15.jpg,KL15.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KL15.xml,KL43G6619,KL,272,363,3,141,223,225,259,KL43G6619,OK
DL30,DL30.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL30.jpg,DL30.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL30.xml,DL10C05520,DL,270,347,3,169,221,207,229,DL10C05520,OK
DN3,DN3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DN3.jpg,DN3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DN3.xml,DN09H0968,DN,272,363,3,71,189,247,274,DN09H0968,OK
MH10,MH10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MH10.jpg,MH10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MH10.xml,MH11CQ8516,MH,270,334,3,90,182,307,325,MH11CQ8516,OK
PB10,PB10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB10.jpg,PB10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB10.xml,PB11BN6101,PB,272,588,3,102,193,356,377,PB11BN6101,OK
HP19,HP19.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP19.jpg,HP19.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP19.xml,HP54C6564,HP,272,306,3,105,167,183,197,HP54C6564,OK
NL4,NL4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\NL4.jpg,NL4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\NL4.xml,NL02C3947,NL,271,555,3,176,233,387,420,NL02C3947,OK
KA25,KA25.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KA25.jpg,KA25.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KA25.xml,KA38M8037,KA,271,546,3,65,178,344,370,KA38M8037,OK
DL27,DL27.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL27.jpg,DL27.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL27.xml,DL10CA0986,DL,272,589,3,93,192,373,401,DL10CA0986,OK
UK5,UK5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UK5.jpg,UK5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UK5.xml,UK106679,UK,272,204,3,108,176,144,158,UK106679,OK
JK16,JK16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK16.jpg,JK16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK16.xml,JK09B7745,JK,272,363,3,79,196,236,260,JK09B7745,OK
HR12,HR12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HR12.jpg,HR12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HR12.xml,HR29R9466,HR,272,331,3,149,198,275,294,HR29R9466,OK
DL11,DL11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL11.jpg,DL11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL11.xml,DL9CAP8884,DL,272,363,3,90,180,219,241,DL9CAP8884,OK
PY10,PY10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY10.jpg,PY10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY10.xml,PY01CE4149,PY,272,363,3,91,184,274,295,PY01CE4149,OK
UK3,UK3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UK3.jpg,UK3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UK3.xml,UK185763,UK,272,604,3,92,175,306,326,UK185763,OK
HP1,HP1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP1.jpg,HP1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP1.xml,HP12H1324,HP,272,363,3,121,178,230,242,HP12H1324,OK
CH6,CH6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CH6.jpg,CH6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CH6.xml,CH01AZ2642,CH,272,204,3,108,178,149,166,CH01AZ2642,OK
JH6,JH6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH6.jpg,JH6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH6.xml,JH02AH0750,JH,272,204,3,87,139,151,163,JH02AH0750,OK
UK6,UK6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UK6.jpg,UK6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UK6.xml,UK07055789,UK,272,363,3,111,188,274,291,UK07055789,OK
KA23,KA23.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KA23.jpg,KA23.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KA23.xml,KA51ML4025,KA,272,363,3,106,158,238,249,KA51ML4025,OK
WB17,WB17.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB17.jpg,WB17.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB17.xml,WB02AJ4534,WB,272,363,3,97,185,265,287,WB02AJ4534,OK
AP26,AP26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP26.jpg,AP26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP26.xml,AP31BR9501,AP,272,213,3,96,179,45,63,AP31BR9501,OK
KA5,KA5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KA5.jpg,KA5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KA5.xml,KA53P7604,KA,272,204,3,108,169,130,144,KA53P7604,OK
GA12,GA12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GA12.jpg,GA12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GA12.xml,GA03Y9512,GA,272,272,3,99,170,185,205,GA03Y9512,OK
PB13,PB13.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB13.jpg,PB13.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB13.xml,PB08DT7342,PB,272,204,3,112,178,155,171,PB08DT7342,OK
BR16,BR16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR16.jpg,BR16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR16.xml,BR33M0001,BR,272,363,3,43,112,255,285,BR33M0001,OK
SK2,SK2.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\SK2.jpg,SK2.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\SK2.xml,SK01T3794,SK,272,363,3,94,171,233,254,SK01T3794,OK
ML29,ML29.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML29.jpg,ML29.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML29.xml,ML04C4738,ML,271,160,3,111,189,71,87,ML04C4738,OK
PB24,PB24.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB24.jpg,PB24.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB24.xml,PB02DY7380,PB,272,363,3,85,168,262,279,PB02DY7380,OK
TN10,TN10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TN10.jpg,TN10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TN10.xml,TN69AJ4455,TN,272,304,3,79,184,242,264,TN69AJ4455,OK
GJ16,GJ16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ16.jpg,GJ16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ16.xml,GJ01KC9959,GJ,272,204,3,105,177,149,165,GJ01KC9959,OK
PB29,PB29.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB29.jpg,PB29.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB29.xml,PB10EE0888,PB,272,363,3,109,181,187,203,PB10EE0888,OK
BR3,BR3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR3.jpg,BR3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR3.xml,BR01AZ6290,BR,272,363,3,112,178,213,228,BR01AZ6290,OK
ML20,ML20.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML20.jpg,ML20.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML20.xml,ML137827,ML,272,363,3,128,206,252,272,ML137827,OK
TR1,TR1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TR1.jpg,TR1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TR1.xml,TR05B0308,TR,271,242,3,83,163,94,110,TR05B0308,OK
HP22,HP22.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP22.jpg,HP22.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP22.xml,HP64B3380,HP,272,363,3,85,157,198,215,HP64B3380,OK
WB20,WB20.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB20.jpg,WB20.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB20.xml,WB171717,WB,272,364,3,105,176,202,235,WB171717,OK
UP10,UP10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP10.jpg,UP10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP10.xml,UP78DB3730,UP,272,363,3,99,184,277,289,UP78DB3730,OK
GA6,GA6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GA6.jpg,GA6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GA6.xml,GA02J2129,GA,272,604,3,95,185,343,362,GA02J2129,OK
AP45,AP45.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP45.jpg,AP45.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP45.xml,AP31BL2833,AP,272,483,3,98,182,231,263,AP31BL2833,OK
AN1,AN1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AN1.jpg,AN1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AN1.xml,AN01P9687,AN,272,575,3,94,185,364,385,AN01P9687,OK
AS25,AS25.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AS25.jpg,AS25.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AS25.xml,AS01BS4362,AS,272,204,3,96,166,144,162,AS01BS4362,OK
HP7,HP7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP7.jpg,HP7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP7.xml,HP12C3766,HP,272,363,3,70,158,283,310,HP12C3766,OK
DL24,DL24.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL24.jpg,DL24.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL24.xml,DL3CCK8019,DL,272,363,3,94,178,237,253,DL3CCK8019,OK
ML38,ML38.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML38.jpg,ML38.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML38.xml,ML064696,ML,272,484,3,97,202,269,298,ML064696,OK
CG19,CG19.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CG19.jpg,CG19.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CG19.xml,CG07MA7848,CG,272,363,3,106,170,205,220,CG07MA7848,OK
SK8,SK8.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\SK8.jpg,SK8.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\SK8.xml,SK01PA5349,SK,272,363,3,34,96,187,222,SK01PA5349,OK
DL19,DL19.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL19.jpg,DL19.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL19.xml,DL1CT2782,DL,272,204,3,102,181,162,177,DL1CT2782,OK
ML31,ML31.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML31.jpg,ML31.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML31.xml,ML05J8950,ML,272,181,3,58,179,132,151,ML05J8950,OK
ML35,ML35.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML35.jpg,ML35.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML35.xml,ML05G3474,ML,272,363,3,123,191,225,242,ML05G3474,OK
MZ1,MZ1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MZ1.jpg,MZ1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MZ1.xml,MZ01G9825,MZ,272,125,3,119,181,98,112,MZ01G9825,OK
KA20,KA20.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KA20.jpg,KA20.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KA20.xml,KA19MF1763,KA,272,363,3,77,169,281,302,KA19MF1763,OK
DL28,DL28.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL28.jpg,DL28.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL28.xml,DL40NA7238,DL,272,364,3,103,170,259,277,DL40NA7238,OK
AS26,AS26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AS26.jpg,AS26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AS26.xml,AS06Z0841,AS,272,204,3,106,168,135,149,AS06Z0841,OK
HR5,HR5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HR5.jpg,HR5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HR5.xml,HR26CC7676,HR,272,204,3,93,165,140,156,HR26CC7676,OK
GJ22,GJ22.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ22.jpg,GJ22.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ22.xml,GJ18BD5216,GJ,272,204,3,113,177,116,130,GJ18BD5216,OK
UP16,UP16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP16.jpg,UP16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP16.xml,UP32KW7325,UP,272,546,3,75,152,295,320,UP32KW7325,OK
DL16,DL16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL16.jpg,DL16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL16.xml,DL9CAV1739,DL,272,484,3,91,167,227,244,DL9CAV1739,OK
WB8,WB8.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB8.jpg,WB8.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB8.xml,WB06J4432,WB,272,272,3,98,184,210,229,WB06J4432,OK
JH2,JH2.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH2.jpg,JH2.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH2.xml,JH01AM0100,JH,272,427,3,97,180,268,284,JH01AM0100,OK
JK29,JK29.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK29.jpg,JK29.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK29.xml,JK01AF0310,JK,272,604,3,70,172,333,358,JK01AF0310,OK
HP12,HP12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP12.jpg,HP12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP12.xml,HP36E3330,HP,272,363,3,77,145,250,291,HP36E3330,OK
GJ24,GJ24.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ24.jpg,GJ24.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ24.xml,GJ23CC8798,GJ,272,581,3,102,172,348,365,GJ23CC8798,OK
PY12,PY12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY12.jpg,PY12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY12.xml,PY01AH9067,PY,272,204,3,119,180,163,183,PY01AH9067,OK
OD22,OD22.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\OD22.jpg,OD22.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\OD22.xml,OR05AC0422,OR,271,179,3,103,222,51,120,OR05AC0422,OK
SK13,SK13.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\SK13.jpg,SK13.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\SK13.xml,SK05T0338,SK,272,153,3,107,172,124,140,SK05T0338,OK
OD5,OD5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\OD5.jpg,OD5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\OD5.xml,OD14E3131,OD,272,236,3,105,181,195,211,OD14E3131,OK
PB12,PB12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB12.jpg,PB12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB12.xml,PB07BY3563,PB,272,240,3,89,179,135,155,PB07BY3563,OK
BR7,BR7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR7.jpg,BR7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR7.xml,BR44E1206,BR,272,363,3,99,181,301,316,BR44E1206,OK
TS12,TS12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TS12.jpg,TS12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TS12.xml,TS09UA7948,TS,272,590,3,87,186,343,363,TS09UA7948,OK
JK7,JK7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK7.jpg,JK7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK7.xml,JK11B4928,JK,272,363,3,142,218,233,253,JK11B4928,OK
KL9,KL9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KL9.jpg,KL9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KL9.xml,KL16U8863,KL,272,272,3,104,181,188,201,KL16U8863,OK
HR7,HR7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HR7.jpg,HR7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HR7.xml,HR01W0080,HR,272,153,3,112,171,120,135,HR01W0080,OK
ML32,ML32.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML32.jpg,ML32.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML32.xml,ML10C2674,ML,272,590,3,94,174,346,364,ML10C2674,OK
WB13,WB13.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB13.jpg,WB13.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB13.xml,WB26K2760,WB,272,154,3,170,221,117,127,WB26K2760,OK
SK10,SK10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\SK10.jpg,SK10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\SK10.xml,SK01PB5004,SK,272,363,3,69,127,191,205,SK01PB5004,OK
PB7,PB7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB7.jpg,PB7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB7.xml,PB10DV5354,PB,272,242,3,109,167,153,166,PB10DV5354,OK
UP15,UP15.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP15.jpg,UP15.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP15.xml,UP79L0567,UP,272,604,3,74,176,333,360,UP79L0567,OK
TR9,TR9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TR9.jpg,TR9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TR9.xml,TR01AS0609,TR,272,590,3,88,171,313,337,TR01AS0609,OK
ML27,ML27.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML27.jpg,ML27.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML27.xml,ML05K9494,ML,272,363,3,115,179,210,226,ML05K9494,OK
KA2,KA2.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KA2.jpg,KA2.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KA2.xml,KA05MF1762,KA,272,204,3,108,170,133,148,KA05MF1762,OK
MH26,MH26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MH26.jpg,MH26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MH26.xml,MH12HF5057,MH,272,274,3,100,171,212,228,MH12HF5057,OK
GA9,GA9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GA9.jpg,GA9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GA9.xml,GA06E3855,GA,272,363,3,93,167,251,269,GA06E3855,OK
AP6,AP6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP6.jpg,AP6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP6.xml,AP31TV7236,AP,272,262,3,98,176,221,239,AP31TV7236,OK
AR12,AR12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AR12.jpg,AR12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AR12.xml,AR118724,AR,272,204,3,110,176,136,151,AR118724,OK
WB15,WB15.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB15.jpg,WB15.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB15.xml,WB12AX2987,WB,272,363,3,94,182,246,273,WB12AX2987,OK
GA10,GA10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GA10.jpg,GA10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GA10.xml,GA01R6315,GA,272,311,3,86,157,170,203,GA01R6315,OK
GJ7,GJ7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ7.jpg,GJ7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ7.xml,GJ34B9811,GJ,272,204,3,110,187,134,151,GJ34B9811,OK
JK26,JK26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK26.jpg,JK26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK26.xml,JK02AG2454,JK,272,363,3,129,214,256,285,JK02AG2454,OK
TS4,TS4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TS4.jpg,TS4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TS4.xml,TS09EZ9296,TS,272,363,3,109,172,208,224,TS09EZ9296,OK
UP17,UP17.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP17.jpg,UP17.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP17.xml,UP32CX3400,UP,272,363,3,91,179,231,252,UP32CX3400,OK
HR21,HR21.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HR21.jpg,HR21.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HR21.xml,HR4281329,HR,272,153,3,95,165,109,123,HR4281329,OK
TS9,TS9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TS9.jpg,TS9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TS9.xml,TS21J8351,TS,272,153,3,94,144,67,79,TS21J8351,OK
MH11,MH11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MH11.jpg,MH11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MH11.xml,MH36H5700,MH,272,363,3,110,159,192,202,MH36H5700,OK
GJ4,GJ4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ4.jpg,GJ4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ4.xml,GJ06JE4788,GJ,272,363,3,103,178,251,271,GJ06JE4788,OK
PY17,PY17.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY17.jpg,PY17.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY17.xml,PY02S9326,PY,272,204,3,85,170,135,156,PY02S9326,OK
MP6,MP6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MP6.jpg,MP6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MP6.xml,MP07CA5563,MP,272,363,3,91,178,239,256,MP07CA5563,OK
JK20,JK20.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK20.jpg,JK20.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK20.xml,JK02BJ4045,JK,272,363,3,3,70,217,251,JK02BJ4045,OK
